#CET-8k-gmfofb2
#Global Mirror Failover/Failback
#Nov 7, 2013 11:21:17 PM

H1,H2,J2
DS8000:2107.BWP21:VOL:E04C,DS8000:2107.BWN81:VOL:DC4C,DS8000:2107.BWN81:VOL:DD4C
DS8000:2107.BWP21:VOL:E04D,DS8000:2107.BWN81:VOL:DC4D,DS8000:2107.BWN81:VOL:DD4D
DS8000:2107.BWP21:VOL:E04E,DS8000:2107.BWN81:VOL:DC4E,DS8000:2107.BWN81:VOL:DD4E
DS8000:2107.BWP21:VOL:E04F,DS8000:2107.BWN81:VOL:DC4F,DS8000:2107.BWN81:VOL:DD4F
DS8000:2107.BWP21:VOL:E050,DS8000:2107.BWN81:VOL:DC50,DS8000:2107.BWN81:VOL:DD50
DS8000:2107.BWP21:VOL:E051,DS8000:2107.BWN81:VOL:DC51,DS8000:2107.BWN81:VOL:DD51
DS8000:2107.BWP21:VOL:E052,DS8000:2107.BWN81:VOL:DC52,DS8000:2107.BWN81:VOL:DD52
DS8000:2107.BWP21:VOL:E053,DS8000:2107.BWN81:VOL:DC53,DS8000:2107.BWN81:VOL:DD53
DS8000:2107.BWP21:VOL:E054,DS8000:2107.BWN81:VOL:DC54,DS8000:2107.BWN81:VOL:DD54
DS8000:2107.BWP21:VOL:E055,DS8000:2107.BWN81:VOL:DC55,DS8000:2107.BWN81:VOL:DD55
DS8000:2107.BWP21:VOL:E056,DS8000:2107.BWN81:VOL:DC56,DS8000:2107.BWN81:VOL:DD56
DS8000:2107.BWP21:VOL:E057,DS8000:2107.BWN81:VOL:DC57,DS8000:2107.BWN81:VOL:DD57
DS8000:2107.BWP21:VOL:E058,DS8000:2107.BWN81:VOL:DC58,DS8000:2107.BWN81:VOL:DD58
DS8000:2107.BWP21:VOL:E059,DS8000:2107.BWN81:VOL:DC59,DS8000:2107.BWN81:VOL:DD59
DS8000:2107.BWP21:VOL:E05A,DS8000:2107.BWN81:VOL:DC5A,DS8000:2107.BWN81:VOL:DD5A
DS8000:2107.BWP21:VOL:E05B,DS8000:2107.BWN81:VOL:DC5B,DS8000:2107.BWN81:VOL:DD5B
DS8000:2107.BWP21:VOL:E05C,DS8000:2107.BWN81:VOL:DC5C,DS8000:2107.BWN81:VOL:DD5C
DS8000:2107.BWP21:VOL:E05D,DS8000:2107.BWN81:VOL:DC5D,DS8000:2107.BWN81:VOL:DD5D
DS8000:2107.BWP21:VOL:E05E,DS8000:2107.BWN81:VOL:DC5E,DS8000:2107.BWN81:VOL:DD5E
DS8000:2107.BWP21:VOL:E05F,DS8000:2107.BWN81:VOL:DC5F,DS8000:2107.BWN81:VOL:DD5F
DS8000:2107.BWP21:VOL:E060,DS8000:2107.BWN81:VOL:DC60,DS8000:2107.BWN81:VOL:DD60
DS8000:2107.BWP21:VOL:E061,DS8000:2107.BWN81:VOL:DC61,DS8000:2107.BWN81:VOL:DD61
DS8000:2107.BWP21:VOL:E062,DS8000:2107.BWN81:VOL:DC62,DS8000:2107.BWN81:VOL:DD62
DS8000:2107.BWP21:VOL:E063,DS8000:2107.BWN81:VOL:DC63,DS8000:2107.BWN81:VOL:DD63
DS8000:2107.BWP21:VOL:E064,DS8000:2107.BWN81:VOL:DC64,DS8000:2107.BWN81:VOL:DD64
DS8000:2107.BWP21:VOL:E065,DS8000:2107.BWN81:VOL:DC65,DS8000:2107.BWN81:VOL:DD65
DS8000:2107.BWP21:VOL:E066,DS8000:2107.BWN81:VOL:DC66,DS8000:2107.BWN81:VOL:DD66
DS8000:2107.BWP21:VOL:E067,DS8000:2107.BWN81:VOL:DC67,DS8000:2107.BWN81:VOL:DD67
DS8000:2107.BWP21:VOL:E068,DS8000:2107.BWN81:VOL:DC68,DS8000:2107.BWN81:VOL:DD68
DS8000:2107.BWP21:VOL:E069,DS8000:2107.BWN81:VOL:DC69,DS8000:2107.BWN81:VOL:DD69
DS8000:2107.BWP21:VOL:E06A,DS8000:2107.BWN81:VOL:DC6A,DS8000:2107.BWN81:VOL:DD6A
DS8000:2107.BWP21:VOL:E06B,DS8000:2107.BWN81:VOL:DC6B,DS8000:2107.BWN81:VOL:DD6B
DS8000:2107.BWP21:VOL:E06C,DS8000:2107.BWN81:VOL:DC6C,DS8000:2107.BWN81:VOL:DD6C
DS8000:2107.BWP21:VOL:E06D,DS8000:2107.BWN81:VOL:DC6D,DS8000:2107.BWN81:VOL:DD6D
DS8000:2107.BWP21:VOL:E06E,DS8000:2107.BWN81:VOL:DC6E,DS8000:2107.BWN81:VOL:DD6E
DS8000:2107.BWP21:VOL:E06F,DS8000:2107.BWN81:VOL:DC6F,DS8000:2107.BWN81:VOL:DD6F
DS8000:2107.BWP21:VOL:E070,DS8000:2107.BWN81:VOL:DC70,DS8000:2107.BWN81:VOL:DD70
DS8000:2107.BWP21:VOL:E071,DS8000:2107.BWN81:VOL:DC71,DS8000:2107.BWN81:VOL:DD71
DS8000:2107.BWP21:VOL:E072,DS8000:2107.BWN81:VOL:DC72,DS8000:2107.BWN81:VOL:DD72
DS8000:2107.BWP21:VOL:E073,DS8000:2107.BWN81:VOL:DC73,DS8000:2107.BWN81:VOL:DD73
DS8000:2107.BWP21:VOL:E074,DS8000:2107.BWN81:VOL:DC74,DS8000:2107.BWN81:VOL:DD74
DS8000:2107.BWP21:VOL:E075,DS8000:2107.BWN81:VOL:DC75,DS8000:2107.BWN81:VOL:DD75
DS8000:2107.BWP21:VOL:E076,DS8000:2107.BWN81:VOL:DC76,DS8000:2107.BWN81:VOL:DD76
DS8000:2107.BWP21:VOL:E077,DS8000:2107.BWN81:VOL:DC77,DS8000:2107.BWN81:VOL:DD77
DS8000:2107.BWP21:VOL:E078,DS8000:2107.BWN81:VOL:DC78,DS8000:2107.BWN81:VOL:DD78
DS8000:2107.BWP21:VOL:E079,DS8000:2107.BWN81:VOL:DC79,DS8000:2107.BWN81:VOL:DD79
DS8000:2107.BWP21:VOL:E07A,DS8000:2107.BWN81:VOL:DC7A,DS8000:2107.BWN81:VOL:DD7A
DS8000:2107.BWP21:VOL:E07B,DS8000:2107.BWN81:VOL:DC7B,DS8000:2107.BWN81:VOL:DD7B
DS8000:2107.BWP21:VOL:E07C,DS8000:2107.BWN81:VOL:DC7C,DS8000:2107.BWN81:VOL:DD7C
DS8000:2107.BWP21:VOL:E07D,DS8000:2107.BWN81:VOL:DC7D,DS8000:2107.BWN81:VOL:DD7D
DS8000:2107.BWP21:VOL:E07E,DS8000:2107.BWN81:VOL:DC7E,DS8000:2107.BWN81:VOL:DD7E
DS8000:2107.BWP21:VOL:E07F,DS8000:2107.BWN81:VOL:DC7F,DS8000:2107.BWN81:VOL:DD7F
DS8000:2107.BWP21:VOL:E080,DS8000:2107.BWN81:VOL:DC80,DS8000:2107.BWN81:VOL:DD80
DS8000:2107.BWP21:VOL:E081,DS8000:2107.BWN81:VOL:DC81,DS8000:2107.BWN81:VOL:DD81
